name,ic_mean,ic_std,ic_ir,ic_positive_ratio,category,depends_on_volume,ic_AUDUSD,ic_EURUSD,ic_GBPUSD,ic_USDJPY,ic_XAUUSD
MA60,0.3007719571408084,0.09411830119911373,3.1956798338774166,1.0,effective,False,0.3203560672799164,0.2844522751019237,0.2950236626989818,0.30982975149044273,0.2941980291327774
QTLU60,0.2905240631491543,0.09172933976495977,3.1671879890727537,0.998639455782313,effective,False,0.3071890621142989,0.28302434991888403,0.29342820112544854,0.277492845086245,0.2914858575008951
QTLD60,0.29904759068863684,0.09625017022174075,3.106982460391418,0.998639455782313,effective,False,0.31684605417603956,0.26822231872133206,0.29382668248433247,0.31992225461613216,0.296420643445348
MA30,0.27261273073692405,0.09791217433067474,2.784257755488509,0.9931880108991825,effective,False,0.27877937350187454,0.2712421380426543,0.28257564893159326,0.26982442482227365,0.2606420683862244
QTLU30,0.26520217336343427,0.09837188132559051,2.695914419748364,0.9945578231292517,effective,False,0.2733772371613947,0.27642428391541674,0.2807826615936573,0.2513389137001783,0.24408777044652447
QTLD30,0.26802325184571185,0.10234450452012168,2.6188338406877185,0.9877551020408163,effective,False,0.28246330110991763,0.25552232594492486,0.2627074716611778,0.28564381418754287,0.25377934632499616
MAX60,0.269328647800997,0.10327071642015723,2.6079866310332602,0.9931972789115646,effective,False,0.29580861855182433,0.27743169294709114,0.27952429965112185,0.21173449200511926,0.28214413584982867
MIN60,0.26540261580317837,0.10386349069984815,2.5553022916412185,0.998639455782313,effective,False,0.2833853740381096,0.24793874646329905,0.24155820456272814,0.28506421004095744,0.2690665439107974
MA20,0.2540648624285509,0.10187131381915178,2.4939784607036923,0.9836512261580381,effective,False,0.2763270574255803,0.2422835016697056,0.24637684128577572,0.25230788142017163,0.25302903034152135
MAX30,0.24365628393730498,0.09922413037691492,2.4556152118617414,0.9877551020408163,effective,False,0.2560379573526937,0.2610064549173838,0.2673930045491782,0.1926450872107811,0.24119891565648813
QTLU20,0.24204990404884058,0.10260728631380057,2.3589933302454478,0.9877551020408163,effective,False,0.25431930534325,0.23847325918071013,0.25701909427700265,0.22532354503998728,0.23511431640325303
MIN30,0.23932367791418627,0.10225058444292368,2.3405604889014286,0.9891156462585035,effective,False,0.2534503690995043,0.22561324742180197,0.22904130857967858,0.2547392329728364,0.23377423149711007
QTLD20,0.2422482359207593,0.10555714915970714,2.294948640136535,0.9795918367346939,effective,False,0.26041708194011787,0.23479510669989445,0.2346846708608255,0.24348027222816981,0.237864047874789
SUMN60,0.22625116679830545,0.10172765412578189,2.224087134837058,0.9959072305593452,effective,False,0.2210628891464678,0.2572454328180615,0.2199858445568218,0.19085640431228135,0.24210526315789468
CNTN60,0.2033759891073224,0.0919873463314751,2.2109126659058074,0.9809264305177112,effective,False,0.20808589342096515,0.21584566350902484,0.1951374374788485,0.18897577796702136,0.20883517316075217
ROC60,0.21939827346143131,0.10116326049375271,2.1687544706507373,0.9866666666666667,effective,False,0.21052186020607072,0.2557950431634642,0.20644722918407124,0.1839910888331941,0.24023614592035641
MIN20,0.22198259214623145,0.11160217967660352,1.9890524789881705,0.9727891156462585,effective,False,0.24194302508893673,0.2168903016774455,0.20139157410955408,0.22978319565390157,0.2199048642013196
MAX20,0.216530161301115,0.10988011117733412,1.970603769700048,0.9714285714285714,effective,False,0.24107155153631785,0.19695827005593708,0.22317570668985678,0.18523638865259742,0.23620888957086594
ROC30,0.22617565189569666,0.1148760169065911,1.9688674623843059,0.9787234042553191,effective,False,0.22763931104356633,0.22751986348850853,0.24519170266090756,0.20616434703780728,0.2243630352476937
SUMN30,0.22706468130192603,0.11799937568773905,1.9242871411693376,0.9809004092769441,effective,False,0.22794924121918722,0.23327144600929337,0.24071844002913145,0.21465806398670617,0.21872621526531194
SUMN20,0.22001401461146405,0.12018119527353924,1.8306858582218262,0.956343792633015,effective,False,0.23647520594410756,0.22889351619157033,0.2317328108812276,0.21663367149114257,0.1863348685492722
QTLU10,0.20385883905845179,0.11247235367218202,1.8125239883627735,0.963265306122449,effective,False,0.24826556186384324,0.2194474562160299,0.19176717303462734,0.1894063523952409,0.1704076517825175
MA10,0.2062059781606605,0.1141450364826527,1.8065260173796418,0.9591280653950953,effective,False,0.2363504128167831,0.20844481776648704,0.2050234578271291,0.2106103132490627,0.1706008891438405
ROC10,0.192377080632616,0.10658900231098781,1.8048492476862659,0.953103448275862,effective,False,0.22566761731915994,0.17843505315011668,0.17515789473684207,0.1754690173710137,0.20715582058594761
ROC20,0.2194996582365003,0.12280817831437255,1.7873374660326813,0.9566433566433566,effective,False,0.2314885114885115,0.22611493769388505,0.23036963036963035,0.22165203217834795,0.1878731794521268
SUMN10,0.19239244824557733,0.1082624516196992,1.7770930305680424,0.9536152796725784,effective,False,0.23263544421961851,0.18675251109240895,0.17979874652524902,0.17103288124456315,0.19174265814604724
CNTN20,0.20534831945199583,0.11651200465187697,1.7624649070758884,0.9455040871934605,effective,False,0.238286715570799,0.22927629467836036,0.22298032058866224,0.19270956763715139,0.14348869878500609
QTLD10,0.18506082777085042,0.10760378912005825,1.7198356050860808,0.9469387755102041,effective,False,0.21283381387432468,0.18115647153139564,0.17423285619026005,0.2083745372306516,0.14870646002762006
MAX10,0.18346159065989398,0.1083991928673052,1.69246270020179,0.9523809523809523,effective,False,0.21491511458787121,0.18332954997699152,0.19844918418495217,0.15582867157947436,0.1647854329701805
